fid,block_id,section,area_ha,planted_year,block_number,section_id,palm_stand,source,soil_type
1,1,2,10,2015,12A,2,1194,SIME D,Mixed Swamp
20,20,3,19.27,2014,25,3,2385,IOI,Mixed Swamp
21,21,3,22.23,2013,34,3,2205,IOI,Mixed Swamp
22,22,3,1.7,2014,BC1,3,560,SIME D,Mixed Swamp
23,23,3,2.78,2016,BC3,3,,,
24,24,3,3.74,2015,BC2,3,,,
25,25,3,9.74,2013,26,3,1170,IOI,Mixed Swamp
26,26,3,27.69,2013,29,3,3260,SIME D,Mixed Swamp
27,27,3,27.27,2013,30,3,2874,IJM,Mixed Swamp
28,28,3,17.67,2013,33,3,1540,IOI,Mixed Swamp
29,29,3,34.47,2013,22,3,3828,K.K,Mixed Swamp
30,30,3,34.47,2013,23,3,3926,SIME D,Mixed Swamp
31,31,4,29.89,2014,36,4,3915,IJM,Mixed Swamp
35,35,4,13.15,2014,41,4,1758,SIME D,Mixed Swamp
36,36,4,23.72,2014,37,4,2704,IJM,Mixed Swamp
38,38,4,18.56,2015,46,4,2273,SIME D,Mixed Swamp
39,39,4,31.2,2014,43,4,4417,SIME D,Mixed Swamp
40,40,4,32.25,2014,44,4,4382,SIME D,Mixed Swamp
41,41,4,13.76,2015,38B,4,1725,SIME D,Mixed Swamp
33,33,4,29.4,2014,40,4,3845,SIME D,Mixed Swamp
34,34,4,25.93,2014,35,4,3449,IJM,Mixed Swamp
42,42,4,36.72,0,,4,,,
43,43,4,5.19,2016,42,4,974,SIME D,Mixed Swamp
44,44,4,23.4,2015,38A,4,2741,SIME D,Mixed Swamp
45,45,4,31.99,2014,39,4,4366,SIME D,Mixed Swamp
46,46,5,11.86,2014,64,5,1532,SIME D,Mixed Swamp
47,47,5,20.79,2014,65,5,2645,SIME D,Mixed Swamp
50,50,5,26.41,2014,68,5,3334,SIME D,Mixed Swamp
51,51,5,18.3,2014,67,5,2416,SIME D,Mixed Swamp
53,53,5,29.68,2015,52,5,3566,IJM,Mixed Swamp
54,54,5,19.49,2014,51,5,2619,SIME D,Mixed Swamp
55,55,5,15.58,2014,50,5,1973,SIME D,Mixed Swamp
56,56,5,4.12,2014,48,5,470,SIME D,Mixed Swamp
57,57,6,19.85,2015,57,6,2669,IJM,Mixed Swamp
58,58,6,21.15,2015,61,6,2431,SIME D,Mixed Swamp
59,59,6,21.15,2015,59,6,1919,SIME D,Mixed Swamp
48,48,5,14.07,2014,66,5,1822,SIME D,Mixed Swamp
49,49,5,7.68,2014,63,5,1129,SIME D,Mixed Swamp
60,60,6,22.56,2015,60,6,2411,SIME D,Mixed Swamp
61,61,6,23.81,2015,62,6,821,SIME D,Mixed Swamp
62,62,6,29.05,2016,58,6,2663,SIME D,Mixed Swamp
64,64,5,14.78,2014,49,5,1769,SIME D,Mixed Swamp
65,65,5,32.35,2014,53,5,4105,IJM,Mixed Swamp
66,66,6,34.66,2015,55,6,4780,IJM,Mixed Swamp
67,67,2,48.08,2013,18,2,6536,K.K,Mixed Swamp
68,68,2,40.47,2013,19,2,5185,IJM,Mixed Swamp
69,69,6,24.15,2015,56,6,3281,IJM,Mixed Swamp
70,70,6,35.25,2015,54,6,4905,IJM,Mixed Swamp
71,71,1,31,2014,10,1,4462,SIME D,Mixed Swamp
72,72,1,17.33,2014,8,1,2462,IOI,Mixed Swamp
73,73,1,18.19,2014,9,1,2532,IOI,Mixed Swamp
80,80,7,15.14,0,86,7,,,
81,81,7,5.34,0,76,7,,,
82,82,7,18.27,0,77,7,,,
83,83,7,27.49,0,78,7,,,
84,84,7,19.6,0,85,7,,,
85,85,7,25.69,0,80,7,,,
86,86,7,11.92,0,81,7,,,
87,87,7,6.65,0,83,7,,,
88,88,7,6.1,0,82,7,,,
89,89,7,5.29,0,84,7,,,
90,90,7,5.13,0,75,7,,,
91,91,7,7.49,0,79,7,,,
92,92,1,2.32,2013,27A,1,298,SIME D,Mixed Swamp
93,93,2,4.31,2015,27B,2,429,SIME D,Mixed Swamp
2,2,2,27.61,2013,20,2,3160,K.K,Mixed Swamp
3,3,1,29.48,2014,2,1,3947,SIME D,Mixed Swamp
4,4,1,13.64,2014,11,1,2026,SIME D,Mixed Swamp
5,5,1,28.92,2014,1,1,3667,SIME D,Mixed Swamp
6,6,1,19.89,2014,4,1,2146,IOI,Mixed Swamp
7,7,1,21.6,2014,3,1,2418,IOI,Mixed Swamp
8,8,1,29.9,2013,5,1,3681,IOI,Mixed Swamp
9,9,1,35.9,2013,6,1,3948,SIME D,Mixed Swamp
10,10,3,26.32,2013,32,3,2988,IOI,Mixed Swamp
11,11,3,18.98,2013,31,3,1899,IJM,Mixed Swamp
12,12,2,23.24,2013,21,2,2699,K.K,Mixed Swamp
13,13,2,42.54,2013,17,2,5905,IJM,Mixed Swamp
14,14,2,17.96,2015,12B,2,2258,SIME D,Mixed Swamp
15,15,2,32.77,2013,16,2,4135,IJM,Mixed Swamp
94,94,3,3.89,2013,28,3,386,SIME D,Mixed Swamp
32,32,4,20.03,2014,45,4,2449,SIME D,Mixed Swamp
37,37,4,16.19,2015,47,4,1609,SIME D,Mixed Swamp
52,52,5,35,2014,69,5,4542,SIME D,Mixed Swamp
63,63,5,25.83,2015,70,5,3421,SIME D,Mixed Swamp
16,16,2,14.67,2013,14,2,1934,IJM,Mixed Swamp
17,17,2,20.31,2013,15,2,2582,IJM,Mixed Swamp
18,18,2,13.12,2013,13,2,1541,IJM,Mixed Swamp
19,19,3,35.77,2013,24,3,4272,SIME D,Mixed Swamp
74,74,1,30.61,2013,7,1,3861,SIME D,Mixed Swamp
75,75,6,30.36,2015,73,6,2668,SIME D,Mixed Swamp
76,76,6,36.66,2015,72,6,3359,SIME D,Mixed Swamp
77,77,6,23.7,2015,71,6,2519,SIME D,Mixed Swamp
78,78,7,13.64,0,74,7,,,
79,79,7,8.78,0,87,7,,,
